source name	characteristics[organism]	characteristics[organism part]	characteristics[biological replicate]	characteristics[sample type]	characteristics[disease]	characteristics[material type]	characteristics[age]	characteristics[sex]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	comment[sdrf template]	comment[sdrf annotation tool]	comment[proteomics data acquisition method]	comment[instrument]	comment[cleavage agent details]	comment[label]	comment[fraction identifier]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	factor value[disease]
dCCA Sample 20	Homo sapiens	bile duct	31	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample20_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample20_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 20	Homo sapiens	bile duct	31	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample20_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample20_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 20	Homo sapiens	bile duct	31	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample20_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample20_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 20	Homo sapiens	bile duct	31	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample20_PRM_R3	proteomic profiling by mass spectrometry	5	dCCA_Sample20_PRM_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 3	Homo sapiens	bile duct	14	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample3_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample3_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 3	Homo sapiens	bile duct	14	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample3_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample3_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 3	Homo sapiens	bile duct	14	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample03_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample03_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 3	Homo sapiens	bile duct	14	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample03_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample03_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 3	Homo sapiens	bile duct	14	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample03_PRM_R3	proteomic profiling by mass spectrometry	5	dCCA_Sample03_PRM_R3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 4	Homo sapiens	bile duct	15	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample4_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample4_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 4	Homo sapiens	bile duct	15	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample4_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample4_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 4	Homo sapiens	bile duct	15	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample04_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample04_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 5	Homo sapiens	bile duct	16	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample5_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample5_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 5	Homo sapiens	bile duct	16	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample5_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample5_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 5	Homo sapiens	bile duct	16	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample05_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample05_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 5	Homo sapiens	bile duct	16	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample05_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample05_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 6	Homo sapiens	bile duct	17	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample6_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample6_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 6	Homo sapiens	bile duct	17	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample6_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample6_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 6	Homo sapiens	bile duct	17	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample06_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample06_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 6	Homo sapiens	bile duct	17	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample06_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample06_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 7	Homo sapiens	bile duct	18	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample7_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample7_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 7	Homo sapiens	bile duct	18	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample7_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample7_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 7	Homo sapiens	bile duct	18	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample07_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample07_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 8	Homo sapiens	bile duct	19	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample8_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample8_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 8	Homo sapiens	bile duct	19	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample8_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample8_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 9	Homo sapiens	bile duct	20	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample9_R1	proteomic profiling by mass spectrometry	1	dCCA_FFPE_Sample9_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 9	Homo sapiens	bile duct	20	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_FFPE_Sample9_R2	proteomic profiling by mass spectrometry	2	dCCA_FFPE_Sample9_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 9	Homo sapiens	bile duct	20	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample09_PRM_R1	proteomic profiling by mass spectrometry	3	dCCA_Sample09_PRM_R1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
dCCA Sample 9	Homo sapiens	bile duct	20	study sample	distal cholangiocarcinoma	tissue	not available	not available	dCCA_Sample09_PRM_R2	proteomic profiling by mass spectrometry	4	dCCA_Sample09_PRM_R2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	NT=human;VV=v1.1.0	manual curation	NT=Parallel reaction monitoring;AC=PRIDE:0000629	NT=Q Exactive Plus;AC=MS:1002634	NT=Trypsin;AC=MS:1001251	label free sample	1	NT=beam-type collision-induced dissociation;AC=MS:1000422	10 ppm	0.02 Da	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	NT=Oxidation;AC=UNIMOD:35;TA=P;MT=Variable	distal cholangiocarcinoma
