source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[biological replicate]	assay name	technology type	comment[proteomics data acquisition method]	comment[instrument]	comment[label]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[fraction identifier]	comment[technical replicate]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[sample material]	factor value[treatment]	factor value[tissue type]
C11b	Mus musculus	Proximal Colon	not applicable	8	Christine_IBDmouse_191115_L_AA15	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA15.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Proximal Colon
C8s	Mus musculus	Ileum	not applicable	28	Christine_IBDmouse_191115_L_AA4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Ileum
C8a	Mus musculus	Distal Colon	not applicable	3	Christine_IBDmouse_191115_T_AA5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
Caco2_S14	Homo sapiens	cell culture	Caco-2	29	200529_CW_IBDCaco2_S14_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S14_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
NP3Ra	Mus musculus	Distal Colon	not applicable	30	Christine_IBDmouse_191115_L_AA44	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA44.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Distal Colon
NP3Rs	Mus musculus	Ileum	not applicable	2	Christine_IBDmouse_191115_T_AA43	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_T_AA43.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
Caco2_S13	Homo sapiens	cell culture	Caco-2	31	200529_CW_IBDCaco2_S13_L	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S13_L.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	TNFa-mix	not applicable
C14a	Mus musculus	Distal Colon	not applicable	7	Christine_IBDmouse_191115_L_AA23	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA23.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Untreated	Distal Colon
NP2Bs	Mus musculus	Ileum	not applicable	32	Christine_IBDmouse_191115_L_AA40	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	Christine_IBDmouse_191115_L_AA40.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	intestinal tissue	Treated	Ileum
Caco2_S8	Homo sapiens	cell culture	Caco-2	33	200529_CW_IBDCaco2_S8_T	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Q Exactive;AC=MS:1001911	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	1	1	200529_CW_IBDCaco2_S8_T.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0	cell culture	DSS	not applicable
